Group,Role,Platform,Tenant,Case Type,Case Subtype,Entitlement
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,read_case
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,read_case
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,write_case
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,write_case
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,create_case
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,create_case
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,update_case
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,update_case
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,add_document
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,add_document
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,read_documents
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,read_documents
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,send_letter
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,send_letter
BANKSVC-OPS-DMS,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,read_activity
BANKSVC-OPS-ERI-DCO,BOBCVerification,omnius_case,jubobccaseverification,jubobccase,bobccase,read_activity
BANKSVC-OPS-DMS,BOBCVerification-Read-Only,omnius_case,jubobccaseverification,jubobccase,bobccase,read_case
BANKSVC-OPS-DMS,BOBCVerification-Read-Only,omnius_case,jubobccaseverification,jubobccase,bobccase,read_documents
BANKSVC-OPS-DMS,BOBCVerification-Read-Only,omnius_case,jubobccaseverification,jubobccase,bobccase,read_activity
BANKSVC-OPS-DMS,BOBCVerification-Read-Only,omnius_case,jubobccaseverification,jubobccase,bobccase,read_items
